"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.4622709610238,0.972,0.45,0,"0","IL7R"
0,1.71356367032815,0.783,0.291,0,"0","RCAN3"
0,1.37058785395658,0.85,0.38,0,"0","TCF7"
0,1.66145574148453,0.685,0.232,0,"0","LEF1"
0,0.536489613573795,0.959,0.508,0,"0","LTB"
0,1.34430584891179,0.749,0.348,0,"0","RGS10"
0,1.81001265352119,0.56,0.171,0,"0","CCR7"
0,1.29207037182744,0.707,0.339,0,"0","NOSIP"
0,1.44137824304204,0.603,0.24,0,"0","CAMK4"
0,1.32327419721895,0.557,0.196,0,"0","MAL"
0,1.46034092032218,0.632,0.274,0,"0","OXNAD1"
0,1.05549185512916,0.894,0.549,0,"0","LDHB"
0,1.35338472058528,0.61,0.269,0,"0","IL6ST"
0,1.18813303380037,0.666,0.328,0,"0","SATB1"
0,0.761516938218866,0.743,0.42,0,"0","SELL"
0,1.94822716793649,0.426,0.114,0,"0","TRABD2A"
0,1.33716921870736,0.534,0.231,0,"0","ABLIM1"
0,0.893126427251898,0.867,0.575,0,"0","LEPROTL1"
0,1.14837802747228,0.561,0.271,0,"0","NUCB2"
0,0.792035010426366,0.75,0.461,0,"0","BCL11B"
0,1.23069543021086,0.482,0.199,0,"0","CD27"
0,0.902830217561416,0.782,0.501,0,"0","C6orf48"
0,0.955129466508043,0.726,0.447,0,"0","NDFIP1"
0,0.744860196065322,0.744,0.467,0,"0","PIK3IP1"
0,1.24709798035039,0.53,0.255,0,"0","MAML2"
0,1.22493868850038,0.466,0.205,0,"0","SERINC5"
0,2.01734851810921,0.337,0.087,0,"0","NELL2"
0,2.36322690743703,0.317,0.07,0,"0","CHRM3-AS2"
0,1.50435266844261,0.398,0.152,0,"0","SH3YL1"
0,0.637153631003256,0.845,0.603,0,"0","FOXP1"
0,0.762865210245367,0.802,0.562,0,"0","SNHG8"
0,1.29153783956571,0.422,0.188,0,"0","FAM102A"
0,0.979447876582052,0.464,0.236,0,"0","PDE3B"
0,0.52912023478611,0.707,0.488,0,"0","TMEM123"
0,1.01412188186534,0.514,0.297,0,"0","SNHG25"
0,0.763940031686525,0.775,0.559,0,"0","UXT"
0,1.69624501050849,0.315,0.102,0,"0","ACTN1"
0,0.913175121198231,0.941,0.729,0,"0","EIF3E"
0,0.726242712251553,0.542,0.335,0,"0","MCUB"
0,0.48086915681177,0.499,0.294,0,"0","TXK"
0,1.7866501925406,0.291,0.091,0,"0","TSHZ2"
0,0.69681477663023,0.701,0.501,0,"0","ST13"
0,0.570150001477856,0.862,0.665,0,"0","C12orf57"
0,1.30423243940101,0.337,0.141,0,"0","PRKCA"
0,1.76105843220801,0.281,0.085,0,"0","RETREG1"
0,1.48076458330178,0.305,0.11,0,"0","ITGA6"
0,0.65813098512009,0.62,0.426,0,"0","EIF3L"
0,0.726663888602414,0.95,0.756,0,"0","RPS17"
0,0.70433034922492,0.954,0.769,0,"0","SARAF"
0,0.589273460677907,0.559,0.375,0,"0","LINC00861"
0,1.2478357195648,0.321,0.138,0,"0","LDLRAP1"
0,0.548010574920592,0.914,0.733,0,"0","NAP1L1"
0,0.51372560984278,0.73,0.55,0,"0","EIF3H"
0,0.526104635376527,0.885,0.708,0,"0","ZFAS1"
0,0.92062947471491,0.384,0.208,0,"0","SESN3"
0,0.599526189767544,0.536,0.362,0,"0","EPB41L4A-AS1"
0,0.358806123284839,0.667,0.494,0,"0","MGAT4A"
0,0.544398764770374,0.643,0.472,0,"0","GYPC"
0,0.619524882276746,0.547,0.376,0,"0","RSL1D1"
0,0.820139716747955,0.442,0.273,0,"0","ALKBH7"
0,0.480894257987582,0.767,0.599,0,"0","EIF4B"
0,0.416820409984822,0.765,0.6,0,"0","ANP32B"
0,0.747087587704282,0.406,0.244,0,"0","IPCEF1"
0,0.746208222751423,0.388,0.226,0,"0","DGKA"
0,0.662437632282423,0.451,0.29,0,"0","GIMAP1"
0,0.866535732356913,0.34,0.181,0,"0","TRAT1"
0,0.588826742061276,0.46,0.301,0,"0","SVIP"
0,0.630933645285452,0.491,0.333,0,"0","FBL"
0,0.356110156786154,0.742,0.59,0,"0","GCC2"
0,0.291620516111895,0.897,0.749,0,"0","FYB1"
0,1.05275003518972,0.278,0.13,0,"0","CENPK"
0,0.488141365217331,0.657,0.509,0,"0","EIF2S3"
0,0.82869523367369,0.327,0.18,0,"0","TESPA1"
0,0.970117724466253,0.294,0.147,0,"0","ZNF101"
0,0.448342442675622,0.857,0.712,0,"0","NSA2"
0,0.746063637499582,0.367,0.222,0,"0","ATF7IP2"
0,0.697933410899468,0.423,0.278,0,"0","PPA1"
0,0.614603768050869,0.931,0.788,0,"0","NOP53"
0,1.0990116122983,0.278,0.137,0,"0","EEF1G"
0,0.543931893922233,0.394,0.255,0,"0","NCK2"
0,0.340846656328731,0.489,0.354,0,"0","BCL2"
0,0.373734133586845,0.773,0.639,0,"0","TOMM20"
0,0.286849388057181,0.885,0.753,0,"0","ETS1"
0,0.252343285490201,0.662,0.531,0,"0","SEPT6"
0,0.960442345004165,0.263,0.134,0,"0","THEM4"
0,0.356642201085126,0.542,0.414,0,"0","MZT2A"
0,0.67762582933139,0.329,0.201,0,"0","ITPKB"
0,0.588863986134409,0.418,0.291,0,"0","TGFBR2"
0,0.697158328724525,0.292,0.165,0,"0","MLLT3"
0,0.306825302171974,0.421,0.296,0,"0","ITK"
0,0.34570025044675,0.551,0.427,0,"0","RBL2"
0,0.478872353402021,0.948,0.824,0,"0","RPL17"
0,0.302789032560988,0.58,0.456,0,"0","PSIP1"
