"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.36322690743703,0.317,0.07,0,"0","CHRM3-AS2"
0,2.01734851810921,0.337,0.087,0,"0","NELL2"
0,1.94822716793649,0.426,0.114,0,"0","TRABD2A"
0,1.81001265352119,0.56,0.171,0,"0","CCR7"
0,1.7866501925406,0.291,0.091,0,"0","TSHZ2"
0,2.24450426159184,0.252,0.061,0,"1","LMNA"
0,2.09683399142499,0.256,0.063,0,"1","ICOS"
0,2.08495014183721,0.347,0.089,0,"1","AQP3"
0,2.08386406631226,0.271,0.076,0,"1","TBC1D4"
0,1.87704673444379,0.37,0.124,0,"1","CORO1B"
0,3.96902530770312,0.472,0.081,0,"2","PTGDS"
0,3.7924979787575,0.285,0.029,0,"2","KLRC2"
0,3.00582380439148,0.304,0.049,0,"2","LINC02384"
0,2.74587988266317,0.536,0.113,0,"2","SYNGR1"
0,2.73536982855433,0.858,0.145,0,"2","KLRF1"
0,2.95195976729767,0.408,0.068,0,"3","GZMK"
0,2.4243458496587,0.275,0.074,0,"3","TRGC1"
0,1.77483483553393,0.507,0.142,0,"3","KLRG1"
0,1.6591178864827,0.709,0.314,0,"3","LYAR"
0,1.52432463993798,0.517,0.166,0,"3","TRGC2"
0,3.35481765641485,0.263,0.033,0,"4","ZNF683"
0,3.27153176853598,0.722,0.141,0,"4","TRGC2"
0,3.24615439971207,0.393,0.059,0,"4","A2M-AS1"
0,3.2034967215773,0.827,0.176,0,"4","CD8A"
0,2.93109976203079,0.63,0.128,0,"4","KLRG1"
0,3.19621819196043,0.28,0.036,0,"5","LRRN3"
0,2.4272444821213,0.425,0.095,0,"5","NELL2"
0,2.38661970100606,0.255,0.068,0,"5","LINC02446"
0,2.21317729798132,0.487,0.129,0,"5","TRABD2A"
0,2.08646747882894,0.324,0.094,0,"5","RETREG1"
0,4.37771672851899,0.364,0.024,0,"6","SH2D1B"
0,4.31509334135657,0.345,0.029,0,"6","KLRC1"
0,3.64441832351909,0.384,0.045,0,"6","IGFBP7"
0,3.54294571978878,0.368,0.048,0,"6","CHST2"
0,3.37965625484641,0.391,0.066,0,"6","XCL2"
0,7.10914243386171,0.575,0.005,0,"7","TCL1A"
0,6.78313556571511,0.43,0.008,0,"7","FCER2"
0,6.4062640113398,0.994,0.046,0,"7","IGHM"
0,6.33345906207233,0.914,0.012,0,"7","IGHD"
0,6.17787800534394,0.554,0.012,0,"7","VPREB3"
0,9.05515353203295,0.462,0.002,0,"8","FOLR3"
0,7.95619371097714,0.663,0.005,0,"8","LGALS2"
0,7.62082207354998,0.445,0.003,0,"8","ALDH1A1"
0,7.02017406529191,0.265,0.002,0,"8","NRG1"
0,6.82284481518594,0.262,0.002,0,"8","OLR1"
0,2.48274883858011,0.359,0.132,0,"9","STMN1"
0,2.14216134397819,0.316,0.102,0,"9","GZMK"
0,1.44512409631351,0.275,0.097,0,"9","PCNA"
0,1.39298792470741,0.303,0.108,0,"9","FABP5"
0,1.24562322824374,0.466,0.183,0,"9","SMC4"
0,8.19997339105127,0.264,0.001,0,"10","SSPN"
0,6.69006576072429,0.421,0.005,0,"10","TNFRSF13B"
0,6.23984180598652,0.324,0.006,0,"10","LINC01781"
0,5.72991641500984,0.377,0.006,0,"10","IGHG2"
0,5.67918317948417,0.428,0.012,0,"10","AIM2"
0,8.71565728640915,0.55,0.004,0,"11","IL1R2"
0,8.64945542476266,0.316,0.001,0,"11","ADAMTS2"
0,8.63560040630698,0.602,0.006,0,"11","CXCL3"
0,8.10709949283337,0.468,0.005,0,"11","CCL20"
0,7.95302066112113,0.889,0.016,0,"11","EREG"
0,12.0751357514666,0.37,0.001,0,"12","LYPD2"
0,9.11499642058651,0.51,0.002,0,"12","C1QA"
0,8.67869946635508,0.3,0.001,0,"12","CASP5"
0,8.5051071430619,0.38,0.001,0,"12","CEACAM3"
0,8.04434458746401,0.92,0.013,0,"12","CDKN1C"
0,13.1345746810883,0.303,0,0,"13","ASIP"
0,13.1227506838113,0.303,0,0,"13","EPHA2"
0,12.8488037365788,0.596,0,0,"13","LRRC26"
0,12.0036404778149,0.697,0,0,"13","SCT"
0,11.8906450449325,0.414,0,0,"13","SHD"
0,3.32782829094252,0.29,0.014,0,"14","LINC01857"
0,3.31104817610972,0.609,0.038,0,"14","PAX5"
0,3.18450957987495,0.522,0.036,0,"14","FCRL1"
0,3.14221999065622,0.304,0.019,0,"14","SNX22"
0,3.13550604435456,0.362,0.028,0,"14","FCRL5"
0,11.6391404944702,0.509,0.003,0,"15","GP9"
0,11.5684113564168,0.34,0.001,0,"15","CMTM5"
0,11.495016150088,0.472,0.002,0,"15","TMEM40"
0,10.8151050148213,0.528,0.005,0,"15","PTCRA"
0,10.7779278603763,0.264,0.002,0,"15","CLEC1B"
